crop,season,state,area,yield_per_hectare,price_per_quintal,cost_per_hectare,profit
Onion,Kharif,Andhra Pradesh,1.2,40.712,2084.54,51830.88,956192.37
Onion,Kharif,Andhra Pradesh,1.87,44.7984,2285.63,48956.15,1823190.85
Onion,Kharif,Andhra Pradesh,0.79,50.6316,2516.91,51541.99,966021.03
Onion,Kharif,Andhra Pradesh,1.87,47.5559,2052.74,49700.76,1732547.84
Onion,Kharif,Andhra Pradesh,1.05,40.453,2269.5,52046.6,909336.07
Onion,Kharif,Andhra Pradesh,1.66,43.4842,2360.76,50100.34,1620914.74
Onion,Kharif,Andhra Pradesh,0.9,40.5715,2106.35,49126.65,724904.13
Onion,Kharif,Andhra Pradesh,1.76,41.6175,2295.41,51510.98,1590655.2
Onion,Kharif,Andhra Pradesh,0.84,48.5179,2537.63,48493.58,993478.78
Onion,Kharif,Andhra Pradesh,0.52,47.8032,2444.15,51145.04,580964.04
Onion,Kharif,Andhra Pradesh,1.9,48.0518,2176.8,50687.79,1891078.7
Onion,Kharif,Andhra Pradesh,0.64,43.5131,2346.52,50042.85,621439.2
Onion,Kharif,Andhra Pradesh,1.53,43.2442,2041.45,48306.11,1276789.23
Onion,Kharif,Andhra Pradesh,1.53,49.0181,2232.38,51803.65,1594976.14
Onion,Kharif,Andhra Pradesh,0.53,44.6395,2277.99,48610.54,513184.64
Onion,Kharif,Andhra Pradesh,1.04,50.3833,2183.58,49116.01,1093084.34
Onion,Kharif,Andhra Pradesh,1.78,46.7398,2019.59,50013.4,1591208.97
Onion,Kharif,Andhra Pradesh,0.73,50.0046,2151.42,48697.81,749792.37
Onion,Kharif,Andhra Pradesh,1.15,50.8504,2266.38,48710.28,1269315.64
Onion,Kharif,Andhra Pradesh,0.91,43.5833,2454.97,48432.59,929588.9
Onion,Kharif,Andhra Pradesh,0.68,47.483,2321.69,47582.94,717282.7
Onion,Kharif,Andhra Pradesh,1.66,49.0095,2359.37,50276.0,1836025.54
Onion,Kharif,Andhra Pradesh,0.52,46.0749,2087.16,50959.48,473563.45
Onion,Kharif,Andhra Pradesh,1.69,50.7123,2132.52,49465.49,1744056.51
Onion,Kharif,Andhra Pradesh,1.76,47.1322,2012.73,48385.55,1584459.29
