crop,state,season,yield_per_hectare,modal_price_per_quintal,cost_per_hectare,revenue_per_hectare,profit_per_hectare
Onion,Andhra Pradesh,Kharif,45.5422,2272.13,50000,1034777.99,984777.99
Onion,Andhra Pradesh,Rabi,24.7529,2272.13,50000,562418.07,512418.07
Onion,Andhra Pradesh,Whole Year,16.2721,2272.13,50000,369723.27,319723.27
Onion,Assam,Whole Year,3.6007,2326.89,50000,83784.33,33784.33
Onion,Bihar,Rabi,12.2168,3824.2,50000,467194.87,417194.87
Onion,Bihar,Whole Year,9.1578,3824.2,50000,350212.59,300212.59
Onion,Chhattisgarh,Rabi,20.33,2721.7,50000,553321.61,503321.61
Onion,Chhattisgarh,Summer,13.46,2721.7,50000,366340.82,316340.82
Onion,Chhattisgarh,Whole Year,5.9569,2721.7,50000,162128.95,112128.95
Onion,Gujarat,Rabi,27.1727,2028.28,50000,551138.44,501138.44
Onion,Gujarat,Summer,26.3843,2028.28,50000,535147.48,485147.48
Onion,Gujarat,Whole Year,27.3508,2028.28,50000,554750.81,504750.81
Onion,Haryana,Whole Year,27.2095,2192.61,50000,596598.22,546598.22
Onion,Himachal Pradesh,Rabi,7.7238,2927.57,50000,226119.65,176119.65
Onion,Himachal Pradesh,Whole Year,6.8629,2927.57,50000,200916.2,150916.2
Onion,Jammu And Kashmir,Kharif,0.7538,3150.91,50000,23751.56,-26248.44
Onion,Jammu And Kashmir,Rabi,2.3501,3150.91,50000,74049.54,24049.54
Onion,Jammu And Kashmir,Whole Year,2.022,3150.91,50000,63711.4,13711.4
Onion,Karnataka,Kharif,6.6048,2278.19,50000,150469.89,100469.89
Onion,Karnataka,Rabi,9.1644,2278.19,50000,208782.44,158782.44
Onion,Karnataka,Summer,9.143,2278.19,50000,208294.91,158294.91
Onion,Karnataka,Whole Year,7.1341,2278.19,50000,162528.35,112528.35
Onion,Madhya Pradesh,Whole Year,16.5488,1566.73,50000,259275.01,209275.01
Onion,Maharashtra,Whole Year,12.4485,2101.67,50000,261626.39,211626.39
Onion,Manipur,Autumn,2.0,4903.6,50000,98072.0,48072.0
Onion,Manipur,Kharif,2.5,4903.6,50000,122590.0,72590.0
Onion,Manipur,Rabi,2.05,4903.6,50000,100523.8,50523.8
Onion,Manipur,Summer,2.145,4903.6,50000,105182.22,55182.22
Onion,Manipur,Whole Year,2.1032,4903.6,50000,103132.52,53132.52
Onion,Manipur,Winter,2.0,4903.6,50000,98072.0,48072.0
Onion,Meghalaya,Rabi,8.3418,4251.02,50000,354611.59,304611.59
Onion,Tamil Nadu,Kharif,9.5643,6526.92,50000,624254.21,574254.21
Onion,Tamil Nadu,Rabi,7.3763,6526.92,50000,481445.2,431445.2
Onion,Tamil Nadu,Whole Year,8.9974,6526.92,50000,587253.1,537253.1
Onion,Uttar Pradesh,Kharif,10.2304,2214.63,50000,226565.51,176565.51
Onion,Uttar Pradesh,Rabi,16.0537,2214.63,50000,355530.06,305530.06
Onion,Uttar Pradesh,Summer,12.71,2214.63,50000,281479.47,231479.47
Onion,Uttar Pradesh,Whole Year,12.1888,2214.63,50000,269936.82,219936.82
Potato,Andhra Pradesh,Kharif,11.7297,2424.17,55000,284347.87,229347.87
Potato,Andhra Pradesh,Rabi,12.262,2424.17,55000,297251.73,242251.73
Potato,Andhra Pradesh,Whole Year,8.9187,2424.17,55000,216204.45,161204.45
Potato,Assam,Whole Year,7.124,1434.78,55000,102213.73,47213.73
Potato,Bihar,Kharif,7.5182,1907.52,55000,143411.17,88411.17
Potato,Bihar,Rabi,12.3449,1907.52,55000,235481.44,180481.44
Potato,Bihar,Whole Year,9.413,1907.52,55000,179554.86,124554.86
Potato,Bihar,Winter,13.9572,1907.52,55000,266236.38,211236.38
Potato,Chhattisgarh,Kharif,5.9866,2107.78,55000,126184.36,71184.36
Potato,Chhattisgarh,Rabi,5.8448,2107.78,55000,123195.53,68195.53
Potato,Chhattisgarh,Whole Year,5.8851,2107.78,55000,124044.96,69044.96
Potato,Delhi,Whole Year,65.8112,1427.69,55000,939579.92,884579.92
